Elo	Username	W	L	T	Last update
10298	Chirou	914	2	0	Sat Apr 02 2016 22:15:50 GMT+0100 (GMT Daylight Time)
1272.3933564713702	DarkAngeallenq.q	15	6	0	Sat Apr 30 2016 22:09:47 GMT+0100 (GMT Daylight Time)
1212.418851281963	Shinx The Jinx	15	11	0	Sun Apr 10 2016 22:26:40 GMT+0100 (GMT Daylight Time)
1196.2652306622774	AceOfGames	19	9	0	Sun Apr 17 2016 13:25:18 GMT+0100 (GMT Daylight Time)
1179.5239303054227	Silvernyan321~	4	0	0	Wed Apr 13 2016 01:03:35 GMT+0100 (GMT Daylight Time)
1162.2532488344739	ImLittleBob	8	6	0	Sat Apr 09 2016 00:30:01 GMT+0100 (GMT Daylight Time)
1156.6006428775906	Deku✘Hirl	8	5	0	Mon Apr 04 2016 01:58:23 GMT+0100 (GMT Daylight Time)
1149.43001226367	purpledragon24	10	7	0	Tue Apr 12 2016 00:27:05 GMT+0100 (GMT Daylight Time)
1117.2335920243993	MasterPikachu5★	7	16	0	Mon Apr 11 2016 23:39:32 GMT+0100 (GMT Daylight Time)
1110.3188725331988	Fuzzytales	6	14	0	Wed Apr 13 2016 01:03:35 GMT+0100 (GMT Daylight Time)
1108.0026573746518	h a x=c a n c e r	3	2	0	Tue Apr 05 2016 02:20:59 GMT+0100 (GMT Daylight Time)
1106.7112421597105	Unova Hero	4	4	0	Sun Apr 03 2016 20:52:48 GMT+0100 (GMT Daylight Time)
1097.9146464810565	Hirl123	3	3	0	Sun Apr 03 2016 02:22:15 GMT+0100 (GMT Daylight Time)
1092.7879469008944	SpicyJake	2	1	0	Sun Apr 03 2016 14:18:26 GMT+0100 (GMT Daylight Time)
1089.5234753380148	m0rgan	2	1	0	Mon Apr 11 2016 23:21:41 GMT+0100 (GMT Daylight Time)
1080.2835602905259	A Helpful Rayquaza	2	0	0	Sun Apr 03 2016 11:04:50 GMT+0100 (GMT Daylight Time)
1076.3673479043346	digitaledge	2	2	0	Mon Apr 04 2016 02:25:51 GMT+0100 (GMT Daylight Time)
1072.6518346832122	Insert Cheese Here	1	0	0	Thu Apr 14 2016 02:22:59 GMT+0100 (GMT Daylight Time)
1071.760668783887	Kyubi☆Child	2	1	0	Sat Apr 02 2016 22:19:18 GMT+0100 (GMT Daylight Time)
1055.0708219389226	Slackinator	2	4	0	Wed Apr 06 2016 14:35:25 GMT+0100 (GMT Daylight Time)
1053.865844498181	CS2016	1	0	0	Wed Apr 06 2016 14:35:25 GMT+0100 (GMT Daylight Time)
1051.8466894887438	Shadow11615	1	1	0	Sun Apr 10 2016 20:56:50 GMT+0100 (GMT Daylight Time)
1051.0579170313947	TerminalHydreigon	2	5	0	Sat Apr 09 2016 19:59:12 GMT+0100 (GMT Daylight Time)
1045	havingfun89	1	0	0	Tue Apr 05 2016 23:02:46 GMT+0100 (GMT Daylight Time)
1045	IceRaven23	1	0	0	Sun Apr 03 2016 07:00:21 GMT+0100 (GMT Daylight Time)
1041.3766462652166	ShadowCune	1	1	0	Sun Apr 10 2016 20:56:50 GMT+0100 (GMT Daylight Time)
1040.7509577199007	Brady1014	1	1	0	Sat Apr 30 2016 22:09:47 GMT+0100 (GMT Daylight Time)
1037.1723990834867	ShadowFox2741	1	2	0	Sun Apr 03 2016 03:05:14 GMT+0100 (GMT Daylight Time)
1034.5192138641667	Fishy✘Conni	1	1	0	Tue Apr 05 2016 22:55:55 GMT+0100 (GMT Daylight Time)
1000	FocusBlasted	0	1	0	Sat Apr 30 2016 18:22:45 GMT+0100 (GMT Daylight Time)
1000	MrLegal	0	2	0	Thu Apr 14 2016 23:47:31 GMT+0100 (GMT Daylight Time)
1000	Pokeface7	0	1	0	Mon Apr 11 2016 20:59:47 GMT+0100 (GMT Daylight Time)
1000	superpowermagikarp	0	1	0	Sat Apr 09 2016 11:59:35 GMT+0100 (GMT Daylight Time)
1000	Wizardsofdra -	0	1	0	Fri Apr 08 2016 02:26:00 GMT+0100 (GMT Daylight Time)
1000	Common evolve	0	1	0	Wed Apr 06 2016 04:08:49 GMT+0100 (GMT Daylight Time)
1000	Taiyuan ✿	0	1	0	Tue Apr 05 2016 23:02:46 GMT+0100 (GMT Daylight Time)
1000	XxDevontexX☆☀☾	0	1	0	Tue Apr 05 2016 03:07:11 GMT+0100 (GMT Daylight Time)
1000	Gerudo Flygon ♪	0	1	0	Mon Apr 04 2016 03:38:19 GMT+0100 (GMT Daylight Time)
1000	Always Dizzy	0	1	0	Mon Apr 04 2016 01:51:38 GMT+0100 (GMT Daylight Time)
1000	ThekARTIKs	0	1	0	Sun Apr 03 2016 14:18:26 GMT+0100 (GMT Daylight Time)
1000	Random P.M Guru	0	2	0	Sun Apr 03 2016 07:00:21 GMT+0100 (GMT Daylight Time)
1000	Zeep	0	1	0	Sun Apr 03 2016 03:49:26 GMT+0100 (GMT Daylight Time)
1000	Dark Is Asleep ~☆★	0	1	0	Sun Apr 03 2016 02:52:15 GMT+0100 (GMT Daylight Time)
1000	Tigerball890	0	1	0	Sun Apr 03 2016 01:33:08 GMT+0100 (GMT Daylight Time)
1000	iceprince8000	0	1	0	Sat Apr 02 2016 21:54:49 GMT+0100 (GMT Daylight Time)
1000	20XXIsUponUs	0	1	0	Sat Apr 02 2016 21:12:18 GMT+0100 (GMT Daylight Time)
1000	ConstantChaos	0	1	0	Sat Apr 02 2016 14:56:21 GMT+0100 (GMT Daylight Time)
